,brand,variant,kilometers,fuel,numbeer of owners,location,Sale Price
110,2022 Hyundai VENUE S MT 1.2 KAPPA MANUAL,DL-10,"3,091 km",Petrol,1st Owner,New_Delhi,"₹9,46,999
₹9,33,799"
111,2011 Hyundai i20 SPORTZ 1.2 VTVT MANUAL,DL-3C,"30,702 km",Petrol,2nd Owner,New_Delhi,"Fixed Price
₹3,00,699"
112,2015 Maruti Wagon R 1.0 VXI MANUAL,DL-7C,"60,452 km",Petrol,2nd Owner,New_Delhi,"₹3,05,499
₹2,86,899"
113,2019 Maruti New Wagon-R 1.0 VXI (O) MANUAL,DL-12,"9,229 km",Petrol,2nd Owner,New_Delhi,"Fixed Price
₹5,43,299"
114,2021 Toyota URBAN CRUISER HIGH AT,HR-51,"6,972 km",Petrol,1st Owner,New_Delhi,"₹11,83,499
₹11,19,899"
115,2021 Maruti New Wagon-R LXI CNG 1.0 L MANUAL,HR-30,"55,907 km",Petrol + CNG,1st Owner,New_Delhi,"Fixed Price
₹6,31,299"
116,2021 Maruti Swift VXI MANUAL,HR-26,"7,819 km",Petrol,2nd Owner,New_Delhi,"₹6,81,899
₹6,69,699"
117,2014 Honda City VX MT PETROL MANUAL,HR-26,"61,168 km",Petrol,2nd Owner,New_Delhi,"₹6,59,699
₹6,42,699"
118,2014 Maruti Wagon R 1.0 VXI MANUAL,DL-9C,"25,601 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹3,40,399"
119,2019 Honda City ZX CVT AUTOMATIC,DL-3C,"11,647 km",Petrol,1st Owner,New_Delhi,"₹13,26,199
₹12,03,999"
120,2022 KIA SELTOS HTK PLUS AT 1.5 DIESEL AUTOMATIC,HR-26,"6,285 km",Diesel,1st Owner,New_Delhi,"₹16,06,599
₹15,96,399"
121,2019 Maruti New Wagon-R LXI 1.0 L MANUAL,DL-3C,"19,253 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹5,07,099"
122,2022 Honda City VX CVT PETROL AUTOMATIC,HR-51,"1,685 km",Petrol,1st Owner,New_Delhi,"₹16,31,799
₹15,74,099"
123,2016 Maruti Celerio ZXI OPT AMT AUTOMATIC,DL-3C,"29,745 km",Petrol,1st Owner,New_Delhi,"Fixed Price
₹5,04,799"
